BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7729    32465        0      8      8      330     5628    43676  FOELOST=35556 FOESEEN=43676 OWNSEEN=5628  GAD p1 off=10 def=23 sig=15 | p2 off=13 def=1 sig=9  DEFGAD p1=speed_3 p2=wall  WIPE n=53 reach=6852 cred=17438 paid=4797 altkill=6852 altcost=4797 altdiff=0  block=277 wiper=53  | wait=1260 watch=895 critical=774 block=640 free=545 wipe=265
131   Blue     1          12169    50088        0      8      7      611    37001    52492  FOELOST=52396 FOESEEN=52492 OWNSEEN=37001  GAD p1 off=32 def=30 sig=18 | p2 off=12 def=34 sig=15  DEFGAD p1=speed_3 p2=speed_3  WIPE n=36 reach=39343 cred=200927 paid=36426 altkill=39343 altcost=36426 altdiff=0  block=575 wiper=36  | watch=4425 block=2609 free=525 outmatched=519 critical=464 wipe=174 wait=104
132   Red      1           7940    16295        0      7      8      538    19761    51468  FOELOST=51468 FOESEEN=51468 OWNSEEN=19761  GAD p1 off=7 def=24 sig=13 | p2 off=11 def=6 sig=15  DEFGAD p1=speed_3 p2=heal  WIPE n=53 reach=52507 cred=90963 paid=19276 altkill=52507 altcost=19276 altdiff=0  block=485 wiper=53  | critical=2304 watch=1030 wait=705 block=454 wipe=261 outmatched=150
133   Blue     1           8501    56000        0      8      7      357    17467     4329  FOELOST=24755 FOESEEN=27639 OWNSEEN=17467  GAD p1 off=20 def=8 sig=17 | p2 off=11 def=21 sig=12  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=46 reach=22075 cred=41475 paid=16558 altkill=22075 altcost=16558 altdiff=0  block=306 wiper=48 =3  | watch=3570 critical=939 outmatched=895 wait=615 block=591 free=446 wipe=229
134   Red      1           8059    34550        0      8      8      307     1482    22959  FOELOST=21614 FOESEEN=22959 OWNSEEN=1482  GAD p1 off=23 def=3 sig=11 | p2 off=13 def=5 sig=18  DEFGAD p1=heal p2=wall_2  WIPE n=14 reach=1144 cred=2465 paid=603 altkill=1144 altcost=603 altdiff=0  block=293 wiper=14  | wait=1390 watch=984 block=933 critical=575 free=555 outmatched=230 wipe=70
135   Green    1           6833    34000        0      7      5       12       59      995  FOELOST=3866 FOESEEN=3875 OWNSEEN=34764  GAD p1 off=8 def=19 sig=11 | p2 off=9 def=15 sig=7  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=1 reach=69 cred=69 paid=15 altkill=69 altcost=15 altdiff=0  block=11 wiper=1  | watch=5568 block=55 wipe=5
136   White    2           6345        0     2000      7      7      343     1539    29404  FOELOST=3093 FOESEEN=29404 OWNSEEN=1539  GAD p1 off=8 def=15 sig=15 | p2 off=11 def=1 sig=10  DEFGAD p1=speed_2 p2=wall  WIPE n=44 reach=2616 cred=156880 paid=1240 altkill=2626 altcost=1246 altdiff=2  block=299 wiper=44  | critical=1301 watch=678 wait=440 block=350 wipe=220 outmatched=19
137   Green    2          11835        0    34000      8      8     1059   118527    73711  FOELOST=169386 FOESEEN=200866 OWNSEEN=118527  GAD p1 off=23 def=14 sig=16 | p2 off=32 def=36 sig=15  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=100 reach=208335 cred=542292 paid=116637 altkill=208335 altcost=116637 altdiff=0  block=956 wiper=102 =1  | watch=3423 critical=2740 block=2055 wait=1055 outmatched=800 wipe=509 free=20
138   White    0          10399        0        0      8      7      876     6147    34482  FOELOST=34432 FOESEEN=34482 OWNSEEN=6147  GAD p1 off=12 def=12 sig=19 | p2 off=9 def=28 sig=13  DEFGAD p1=heal_2 p2=speed_3  WIPE n=84 reach=11851 cred=197970 paid=5355 altkill=12021 altcost=5457 altdiff=9  block=792 wiper=84  | block=2392 critical=1667 watch=1315 outmatched=585 wait=435 wipe=417 free=255
139   Green    1           8449    54000        0      8      8      439     2448    29627  FOELOST=26737 FOESEEN=29627 OWNSEEN=2448  GAD p1 off=12 def=12 sig=15 | p2 off=5 def=11 sig=2  DEFGAD p1=heal_2 p2=heal_2  WIPE n=45 reach=2973 cred=11560 paid=2054 altkill=2973 altcost=2054 altdiff=0  block=394 wiper=45  | watch=1698 block=1441 wait=755 critical=581 free=365 wipe=233 outmatched=25
140   White    1          11093    26713        0      8      7      654     4510    33090  FOELOST=31392 FOESEEN=33090 OWNSEEN=122560  GAD p1 off=22 def=33 sig=15 | p2 off=19 def=29 sig=17  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=34 reach=10097 cred=22237 paid=3270 altkill=10097 altcost=3270 altdiff=0  block=620 wiper=34  | watch=3423 block=2630 wait=1525 critical=520 free=520 outmatched=195 wipe=167
141   Orange   2           9109        0    17659      8      8      479     5522    48056  FOELOST=33017 FOESEEN=48056 OWNSEEN=5522  GAD p1 off=26 def=29 sig=14 | p2 off=13 def=6 sig=18  DEFGAD p1=speed_3 p2=heal  WIPE n=31 reach=11285 cred=47691 paid=4178 altkill=11285 altcost=4178 altdiff=0  block=448 wiper=31  | outmatched=1875 watch=1179 critical=1167 block=1147 free=415 wipe=154 wait=130
142   Yellow   1           8389    36183        0      8      6      191     2491    15114  FOELOST=15073 FOESEEN=15114 OWNSEEN=2491  GAD p1 off=14 def=6 sig=14 | p2 off=13 def=23 sig=11  DEFGAD p1=wall_2 p2=speed_3  WIPE n=9 reach=2436 cred=8290 paid=1787 altkill=2436 altcost=1787 altdiff=0  block=181 wiper=9 =1  | watch=3258 critical=598 free=325 block=320 wait=285 outmatched=245 wipe=45
143   Orange   1           7834    45000        0      8      8      450    11969    53171  FOELOST=53063 FOESEEN=53171 OWNSEEN=11969  GAD p1 off=16 def=10 sig=15 | p2 off=15 def=4 sig=15  DEFGAD p1=heal_2 p2=wall_2  WIPE n=42 reach=17032 cred=27297 paid=10745 altkill=17032 altcost=10745 altdiff=0  block=408 wiper=42  | block=1754 wait=1245 watch=1100 critical=377 wipe=207 free=105 outmatched=20
144   Yellow   1           9379    34000        0      8      5       36       72     1286  FOELOST=4166 FOESEEN=4166 OWNSEEN=85822  GAD p1 off=21 def=29 sig=10 | p2 off=23 def=15 sig=11  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=36  | watch=7979 critical=110 block=70 wait=15
145   Orange   2           7979        0    18500      8      8      553     6946    61857  FOELOST=15698 FOESEEN=61857 OWNSEEN=6946  GAD p1 off=9 def=24 sig=15 | p2 off=11 def=3 sig=21  DEFGAD p1=speed_3 p2=wall_2  WIPE n=73 reach=9553 cred=70823 paid=6466 altkill=9579 altcost=6491 altdiff=1  block=480 wiper=73  | block=1456 critical=975 watch=765 outmatched=570 wait=475 wipe=366 free=35
146   Black    2           7199        0    21500      7      7      367    23352    27208  FOELOST=14925 FOESEEN=65638 OWNSEEN=23352  GAD p1 off=12 def=23 sig=18 | p2 off=7 def=21 sig=7  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=48 reach=24640 cred=246843 paid=23033 altkill=24640 altcost=23033 altdiff=0  block=319 wiper=48  | watch=3094 critical=1277 wait=695 block=542 wipe=327 outmatched=30
147   Purple   1           9049    17839        0      8      8      371    13631    28183  FOELOST=24748 FOESEEN=28183 OWNSEEN=13631  GAD p1 off=19 def=11 sig=13 | p2 off=5 def=7 sig=16  DEFGAD p1=wall_3 p2=wall_2  WIPE n=69 reach=37407 cred=66700 paid=13049 altkill=37407 altcost=13049 altdiff=0  block=294 wiper=76 =1  | watch=2254 wait=1090 critical=903 block=557 free=470 wipe=344 outmatched=110
148   Black    1           8059    24059        0      8      8      321     3497    33303  FOELOST=28409 FOESEEN=33303 OWNSEEN=3497  GAD p1 off=12 def=8 sig=11 | p2 off=10 def=6 sig=9  DEFGAD p1=heal_2 p2=heal  WIPE n=25 reach=5924 cred=11391 paid=2609 altkill=5924 altcost=2609 altdiff=0  block=296 wiper=25  | wait=1425 block=1030 watch=645 free=575 critical=468 outmatched=450 wipe=125
149   Purple   1          11299    21422        0      8      7      762     3043    27900  FOELOST=27900 FOESEEN=27900 OWNSEEN=179788  GAD p1 off=18 def=33 sig=17 | p2 off=19 def=30 sig=18  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=36 reach=6931 cred=7895 paid=2317 altkill=6931 altcost=2317 altdiff=0  block=726 wiper=36  | watch=4578 block=3026 wait=900 critical=753 free=404 wipe=177 outmatched=10
150   Black    1           7699    20830        0      8      8      236     5453    35072  FOELOST=30669 FOESEEN=35072 OWNSEEN=5453  GAD p1 off=15 def=22 sig=15 | p2 off=12 def=5 sig=2  DEFGAD p1=speed_3 p2=heal  WIPE n=48 reach=7133 cred=24025 paid=4889 altkill=7133 altcost=4889 altdiff=0  block=188 wiper=48  | watch=1520 wait=1180 critical=514 block=451 free=370 wipe=238 outmatched=75
151   Purple   1           8119    24970        0      8      8      431     2045    14549  FOELOST=14249 FOESEEN=14549 OWNSEEN=2045  GAD p1 off=22 def=9 sig=8 | p2 off=16 def=25 sig=13  DEFGAD p1=wall_2 p2=speed_3  WIPE n=39 reach=2270 cred=5057 paid=1279 altkill=2270 altcost=1279 altdiff=0  block=387 wiper=43 =1  | watch=1621 block=1412 wait=585 critical=518 free=439 wipe=193
152   Blue     2           9639        0    78000      8      8      635    89403   111361  FOELOST=78207 FOESEEN=111361 OWNSEEN=89403  GAD p1 off=11 def=16 sig=17 | p2 off=23 def=8 sig=19  DEFGAD p1=heal_2 p2=heal_2  WIPE n=62 reach=104440 cred=315951 paid=87111 altkill=104440 altcost=87111 altdiff=0  block=573 wiper=62  | critical=2594 watch=1784 wait=1035 block=431 outmatched=375 wipe=319 free=65
153   Red      2           5858        0     2000      7      6      237     1278     6871  FOELOST=4848 FOESEEN=8971 OWNSEEN=1278  GAD p1 off=10 def=7 sig=14 | p2 off=11 def=15 sig=7  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=25 reach=2577 cred=20836 paid=1066 altkill=2577 altcost=1066 altdiff=0  block=212 wiper=25  | watch=3155 critical=893 outmatched=255 block=184 wipe=128 wait=25
154   Blue     2           9561        0    60290      8      8      446     2579    43423  FOELOST=42717 FOESEEN=43423 OWNSEEN=82414  GAD p1 off=27 def=28 sig=10 | p2 off=10 def=5 sig=24  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=23 reach=2400 cred=5070 paid=1733 altkill=2400 altcost=1733 altdiff=0  block=423 wiper=23  | watch=4294 block=1543 wait=1020 critical=656 outmatched=180 wipe=113
155   Red      2           6191        0    42000      5      6      255     2366    11510  FOELOST=5184 FOESEEN=21285 OWNSEEN=2366  GAD p1 off=10 def=10 sig=4 | p2 off=7 def=16 sig=9  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=47 reach=3378 cred=75279 paid=2158 altkill=3642 altcost=2399 altdiff=3  block=208 wiper=47  | watch=2615 critical=1294 wait=340 outmatched=305 wipe=239 block=186
156   Blue     1           8599    32000        0      8      8      471     2663    38205  FOELOST=36883 FOESEEN=38205 OWNSEEN=2663  GAD p1 off=12 def=6 sig=16 | p2 off=11 def=3 sig=22  DEFGAD p1=wall_2 p2=wall_2  WIPE n=42 reach=4417 cred=9868 paid=2240 altkill=4417 altcost=2240 altdiff=0  block=427 wiper=43 =1  | block=1739 watch=1368 wait=670 free=660 critical=570 wipe=206 outmatched=55
157   Red      2           6254        0     1380      5      7      224     2881    16782  FOELOST=6601 FOESEEN=37467 OWNSEEN=2881  GAD p1 off=5 def=10 sig=5 | p2 off=9 def=18 sig=5  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=45 reach=4147 cred=100728 paid=2523 altkill=4097 altcost=2472 altdiff=1  block=179 wiper=45  | watch=3345 critical=909 wait=515 wipe=230 outmatched=50
158   Green    1          12593    19784        0      8      7      423     2541    26679  FOELOST=24536 FOESEEN=26679 OWNSEEN=129531  GAD p1 off=12 def=33 sig=17 | p2 off=17 def=31 sig=15  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=44 reach=3939 cred=15930 paid=1404 altkill=3929 altcost=1267 altdiff=3  block=379 wiper=44  | watch=4125 wait=3110 outmatched=1494 block=1278 critical=627 free=338 wipe=225
159   White    1           6794    14309        0      7      6       35      173     4614  FOELOST=4577 FOESEEN=4614 OWNSEEN=34878  GAD p1 off=11 def=19 sig=11 | p2 off=11 def=8 sig=9  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=4 reach=180 cred=1097 paid=49 altkill=180 altcost=49 altdiff=0  block=31 wiper=4  | watch=4639 wait=505 critical=159 outmatched=30 wipe=19 block=5

CHECKSUM 854A31561EBAEDFB975C8C52770E2DC3
