BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7489    28734        0      8      8      215     4207    23161  FOELOST=20479 FOESEEN=23161 OWNSEEN=4207  GAD p1 off=9 def=23 sig=15 | p2 off=13 def=2 sig=9  DEFGAD p1=speed_3 p2=wall  WIPE n=32 reach=9306 cred=17516 paid=3658 altkill=9463 altcost=3736 altdiff=1  block=183 wiper=32  | watch=1645 wait=945 block=553 critical=395 free=375 wipe=163 outmatched=65
131   Blue     1           8689    42000        0      8      8      299     9522    88588  FOELOST=32703 FOESEEN=88588 OWNSEEN=9522  GAD p1 off=23 def=22 sig=15 | p2 off=6 def=27 sig=14  DEFGAD p1=speed_3 p2=speed_3  WIPE n=16 reach=15578 cred=17280 paid=9239 altkill=16285 altcost=9945 altdiff=1  block=283 wiper=16  | watch=2755 block=973 free=600 critical=495 outmatched=320 wait=134 wipe=77
132   Red      2           8135        0    28383      7      8      522     8080    97415  FOELOST=82201 FOESEEN=97415 OWNSEEN=8080  GAD p1 off=13 def=24 sig=14 | p2 off=11 def=6 sig=16  DEFGAD p1=speed_3 p2=heal  WIPE n=47 reach=12112 cred=40199 paid=7605 altkill=16108 altcost=9340 altdiff=5  block=475 wiper=47  | block=1408 watch=1364 wait=1010 critical=988 wipe=230 outmatched=95
133   Blue     1           8391    56000        0      8      7      458    13135     4855  FOELOST=28157 FOESEEN=28165 OWNSEEN=13135  GAD p1 off=20 def=9 sig=17 | p2 off=11 def=21 sig=11  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=42 reach=14448 cred=33465 paid=11914 altkill=15611 altcost=12405 altdiff=3  block=412 wiper=43 =3  | watch=3486 critical=1480 block=592 free=500 wait=495 outmatched=345 wipe=274
134   Red      1           8029    25328        0      8      8      282     1716    35630  FOELOST=33880 FOESEEN=35630 OWNSEEN=1716  GAD p1 off=23 def=3 sig=11 | p2 off=13 def=5 sig=18  DEFGAD p1=heal p2=wall_2  WIPE n=13 reach=1555 cred=2811 paid=909 altkill=1555 altcost=909 altdiff=0  block=269 wiper=13  | wait=1575 watch=939 block=906 free=570 critical=458 outmatched=195 wipe=65
135   Green    1           6833    34000        0      7      5       12       59      995  FOELOST=3866 FOESEEN=3875 OWNSEEN=34764  GAD p1 off=8 def=19 sig=11 | p2 off=9 def=15 sig=7  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=1 reach=69 cred=69 paid=15 altkill=69 altcost=15 altdiff=0  block=11 wiper=1  | watch=5568 block=55 wipe=5
136   White    2           8137        0    23000      8      8      502     4994   109022  FOELOST=11960 FOESEEN=109022 OWNSEEN=4994  GAD p1 off=11 def=23 sig=20 | p2 off=17 def=1 sig=14  DEFGAD p1=speed_3 p2=wall  WIPE n=58 reach=8708 cred=163459 paid=4550 altkill=9176 altcost=4601 altdiff=5  block=444 wiper=58  | critical=1552 watch=1402 block=765 wait=590 wipe=303 free=105 outmatched=74
137   Green    2           8479        0     2000      7      7      610    21742    46695  FOELOST=76125 FOESEEN=108785 OWNSEEN=21742  GAD p1 off=17 def=11 sig=10 | p2 off=23 def=25 sig=8  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=54 reach=25647 cred=395560 paid=20652 altkill=26081 altcost=20525 altdiff=4  block=554 wiper=55 =1  | watch=3418 critical=2388 wait=775 block=344 wipe=278 outmatched=50
138   White    2           6184        0     6999      7      7      337     2842    25463  FOELOST=8004 FOESEEN=25463 OWNSEEN=2842  GAD p1 off=7 def=6 sig=11 | p2 off=4 def=17 sig=10  DEFGAD p1=heal p2=speed_2  WIPE n=31 reach=5425 cred=77227 paid=2536 altkill=5460 altcost=2558 altdiff=2  block=306 wiper=31  | critical=1295 watch=645 wait=420 block=242 wipe=158 outmatched=100
139   Green    2           8094        0     5579      8      8      373     2274    31671  FOELOST=20357 FOESEEN=31671 OWNSEEN=2274  GAD p1 off=11 def=10 sig=15 | p2 off=6 def=14 sig=0  DEFGAD p1=heal_2 p2=heal_2  WIPE n=35 reach=3857 cred=14093 paid=1936 altkill=3895 altcost=1940 altdiff=1  block=338 wiper=35  | watch=1504 block=1181 wait=825 critical=599 free=390 wipe=209 outmatched=40
140   White    1          11028    24561        0      8      7      820     4533    43074  FOELOST=43024 FOESEEN=43074 OWNSEEN=122583  GAD p1 off=22 def=33 sig=15 | p2 off=19 def=29 sig=16  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=24 reach=9694 cred=43800 paid=2941 altkill=9694 altcost=2941 altdiff=0  block=796 wiper=24  | watch=3038 block=2389 wait=1600 critical=1593 free=150 wipe=117 outmatched=20
141   Orange   2           9079        0    41659      8      8      487     4597    46723  FOELOST=34809 FOESEEN=46723 OWNSEEN=4597  GAD p1 off=26 def=28 sig=14 | p2 off=13 def=9 sig=18  DEFGAD p1=speed_3 p2=heal_2  WIPE n=32 reach=13522 cred=62253 paid=3232 altkill=13558 altcost=3232 altdiff=0  block=455 wiper=32  | outmatched=2330 critical=1355 block=975 watch=819 free=365 wipe=157 wait=30
142   Yellow   1           8389    36183        0      8      6      191     2491    15114  FOELOST=15073 FOESEEN=15114 OWNSEEN=2491  GAD p1 off=14 def=6 sig=14 | p2 off=13 def=23 sig=11  DEFGAD p1=wall_2 p2=speed_3  WIPE n=9 reach=2415 cred=8290 paid=1787 altkill=2436 altcost=1787 altdiff=0  block=181 wiper=9 =1  | watch=3258 critical=598 free=325 block=320 wait=285 outmatched=245 wipe=45
143   Orange   1           7879    21704        0      8      8      334     9816   122602  FOELOST=116026 FOESEEN=122602 OWNSEEN=9816  GAD p1 off=16 def=15 sig=15 | p2 off=16 def=4 sig=15  DEFGAD p1=heal_2 p2=wall_2  WIPE n=33 reach=11420 cred=21994 paid=8913 altkill=11654 altcost=8913 altdiff=0  block=301 wiper=33  | wait=1260 critical=1161 watch=1130 free=734 block=374 wipe=162 outmatched=35
144   Yellow   1           9379    34000        0      8      5       36       72     1286  FOELOST=4166 FOESEEN=4166 OWNSEEN=85822  GAD p1 off=21 def=29 sig=10 | p2 off=23 def=15 sig=11  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=36  | watch=7979 critical=110 block=70 wait=15
145   Orange   2           7879        0    18500      8      8      469     4756    38196  FOELOST=13850 FOESEEN=38196 OWNSEEN=4756  GAD p1 off=9 def=22 sig=14 | p2 off=13 def=1 sig=19  DEFGAD p1=speed_3 p2=wall  WIPE n=40 reach=6218 cred=40831 paid=4327 altkill=6393 altcost=4464 altdiff=5  block=429 wiper=40  | watch=1300 block=1176 critical=980 wait=570 outmatched=295 wipe=201 free=15
146   Black    2           6599        0    23000      7      7      266     2439    14549  FOELOST=6914 FOESEEN=35234 OWNSEEN=2439  GAD p1 off=11 def=20 sig=17 | p2 off=6 def=18 sig=7  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=36 reach=3693 cred=110500 paid=2209 altkill=3914 altcost=2306 altdiff=4  block=230 wiper=36  | watch=2939 critical=916 wait=670 block=535 wipe=272 outmatched=39
147   Purple   2           9223        0     1500      8      8      691    21068    92989  FOELOST=26671 FOESEEN=92989 OWNSEEN=21068  GAD p1 off=20 def=17 sig=15 | p2 off=5 def=3 sig=17  DEFGAD p1=wall_3 p2=wall_2  WIPE n=91 reach=52879 cred=263559 paid=19902 altkill=56992 altcost=19561 altdiff=7  block=595 wiper=95 =1  | critical=1742 block=1534 wait=960 watch=684 outmatched=505 wipe=451 free=5
148   Black    1           8159     7650        0      8      8      260     2911    33094  FOELOST=30749 FOESEEN=33094 OWNSEEN=2911  GAD p1 off=13 def=8 sig=11 | p2 off=10 def=8 sig=8  DEFGAD p1=heal_2 p2=heal_2  WIPE n=16 reach=5315 cred=8181 paid=2179 altkill=5249 altcost=2071 altdiff=2  block=244 wiper=16  | outmatched=1129 block=981 wait=930 free=790 watch=625 critical=283 wipe=79
149   Purple   1          11337    22706        0      8      7      787      961    28739  FOELOST=28689 FOESEEN=28739 OWNSEEN=177706  GAD p1 off=19 def=33 sig=18 | p2 off=19 def=31 sig=17  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=7 reach=626 cred=871 paid=181 altkill=626 altcost=181 altdiff=0  block=780 wiper=7  | watch=4355 block=2680 critical=1299 wait=925 free=580 wipe=35 outmatched=10
150   Black    1           7759    13966        0      8      8      280     5888    33568  FOELOST=29644 FOESEEN=33568 OWNSEEN=5888  GAD p1 off=15 def=23 sig=15 | p2 off=13 def=5 sig=2  DEFGAD p1=speed_3 p2=heal  WIPE n=40 reach=6222 cred=30559 paid=5168 altkill=6350 altcost=5246 altdiff=1  block=240 wiper=40  | watch=1380 critical=1153 wait=1075 free=390 wipe=200 block=109 outmatched=100
151   Purple   1           8119    24970        0      8      8      426     1936    14549  FOELOST=14149 FOESEEN=14549 OWNSEEN=1936  GAD p1 off=22 def=8 sig=8 | p2 off=16 def=25 sig=13  DEFGAD p1=wall_2 p2=speed_3  WIPE n=38 reach=2241 cred=5351 paid=1176 altkill=2431 altcost=1176 altdiff=0  block=385 wiper=40 =1  | watch=1646 critical=975 block=935 wait=660 free=360 wipe=190 outmatched=5
152   Blue     2           7810        0    27746      8      8      320     6631    38327  FOELOST=28808 FOESEEN=38327 OWNSEEN=6631  GAD p1 off=12 def=10 sig=13 | p2 off=16 def=8 sig=15  DEFGAD p1=heal_2 p2=heal_2  WIPE n=42 reach=8603 cred=23087 paid=5519 altkill=8603 altcost=5519 altdiff=0  block=278 wiper=42  | watch=1784 wait=1250 block=989 critical=406 wipe=219 outmatched=135
153   Red      2           5858        0     2000      7      6      237     1278     6871  FOELOST=4848 FOESEEN=8971 OWNSEEN=1278  GAD p1 off=10 def=7 sig=14 | p2 off=11 def=15 sig=7  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=25 reach=2577 cred=20836 paid=1066 altkill=2577 altcost=1066 altdiff=0  block=212 wiper=25  | watch=3155 critical=893 outmatched=255 block=184 wipe=128 wait=25
154   Blue     2           9560        0    60290      8      8      445     1558    45771  FOELOST=42691 FOESEEN=45771 OWNSEEN=81393  GAD p1 off=27 def=28 sig=10 | p2 off=10 def=5 sig=24  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=18 reach=1049 cred=2600 paid=704 altkill=1049 altcost=704 altdiff=0  block=427 wiper=18  | watch=4294 block=1538 wait=1025 critical=679 outmatched=180 wipe=89
155   Red      2           5122        0    16925      5      6      211     2108     6669  FOELOST=4105 FOESEEN=9239 OWNSEEN=2108  GAD p1 off=7 def=9 sig=4 | p2 off=6 def=14 sig=6  DEFGAD p1=speed_2 p2=reinforcements_2  WIPE n=35 reach=3260 cred=19078 paid=1932 altkill=3631 altcost=2148 altdiff=2  block=176 wiper=35  | watch=2365 critical=1139 wipe=179 wait=110 block=62 outmatched=55
156   Blue     1           8449    66000        0      8      8      397     1425    32356  FOELOST=32343 FOESEEN=32356 OWNSEEN=1425  GAD p1 off=11 def=5 sig=15 | p2 off=10 def=5 sig=20  DEFGAD p1=wall_2 p2=wall_2  WIPE n=27 reach=1902 cred=6590 paid=1060 altkill=2238 altcost=1116 altdiff=4  block=367 wiper=29 =1  | watch=1748 block=1181 critical=739 wait=645 free=440 wipe=372
157   Red      2           6259        0     1380      5      7      195     2193    16411  FOELOST=6337 FOESEEN=37096 OWNSEEN=2193  GAD p1 off=5 def=10 sig=6 | p2 off=9 def=18 sig=4  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=20 reach=2839 cred=66989 paid=1843 altkill=2841 altcost=1843 altdiff=0  block=175 wiper=20  | watch=3275 critical=884 wait=750 wipe=99 outmatched=45
158   Green    1          12476    18168        0      8      7      353     1496    18312  FOELOST=18302 FOESEEN=18312 OWNSEEN=128486  GAD p1 off=12 def=33 sig=17 | p2 off=17 def=32 sig=15  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=17 reach=1006 cred=4019 paid=488 altkill=1006 altcost=488 altdiff=0  block=336 wiper=17  | watch=4231 wait=3700 block=1313 outmatched=1140 critical=363 free=245 wipe=88
159   White    1           6794    14309        0      7      6       35      173     4614  FOELOST=4577 FOESEEN=4614 OWNSEEN=34878  GAD p1 off=11 def=19 sig=11 | p2 off=11 def=8 sig=9  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=4 reach=180 cred=1097 paid=49 altkill=180 altcost=49 altdiff=0  block=31 wiper=4  | watch=4639 wait=505 critical=159 outmatched=30 wipe=19 block=5

CHECKSUM EFC53A2D631964F9B0953325A1766F59
