BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7819    32669        0      8      8      356    10013    25540  FOELOST=22374 FOESEEN=25540 OWNSEEN=10013  GAD p1 off=11 def=23 sig=15 | p2 off=13 def=1 sig=9  DEFGAD p1=speed_3 p2=wall  WIPE n=97 reach=15606 cred=34106 paid=9236 altkill=15606 altcost=9236 altdiff=0  block=259 wiper=97  | watch=1440 block=1069 wait=855 wipe=491 free=355 critical=257
132   Red      2           7458        0    15248      7      8      375    14874    32502  FOELOST=21185 FOESEEN=32502 OWNSEEN=14874  GAD p1 off=11 def=22 sig=12 | p2 off=9 def=4 sig=14  DEFGAD p1=speed_3 p2=heal  WIPE n=108 reach=33760 cred=69390 paid=14607 altkill=33724 altcost=14517 altdiff=1  block=267 wiper=108  | watch=1915 block=1086 wait=640 wipe=549 critical=237
133   Blue     1          10099    32000        0      8      7      336   105853     9157  FOELOST=45977 FOESEEN=46607 OWNSEEN=105853  GAD p1 off=25 def=6 sig=20 | p2 off=14 def=25 sig=13  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=187 reach=145799 cred=244531 paid=105424 altkill=145799 altcost=105424 altdiff=0  wiper=190 block=143 =3  | watch=4240 free=1175 wait=1105 wipe=1015 outmatched=625 critical=504 block=225
134   Red      1           8239     9086        0      8      8      354     3016    25538  FOELOST=25215 FOESEEN=25538 OWNSEEN=3016  GAD p1 off=23 def=7 sig=11 | p2 off=13 def=4 sig=18  DEFGAD p1=heal_2 p2=wall_2  WIPE n=52 reach=3237 cred=6273 paid=2110 altkill=3237 altcost=2110 altdiff=0  block=302 wiper=52  | watch=1359 block=1207 wait=910 free=545 critical=363 wipe=267 outmatched=265
135   Green    1           6923    31450        0      7      5       12       70      911  FOELOST=3782 FOESEEN=3791 OWNSEEN=43140  GAD p1 off=9 def=20 sig=11 | p2 off=9 def=15 sig=7  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=2 reach=138 cred=200 paid=30 altkill=138 altcost=30 altdiff=0  block=10 wiper=2  | watch=5657 block=50 wipe=10
136   White    2           6677        0     2000      8      7      339     3879    46433  FOELOST=5184 FOESEEN=46433 OWNSEEN=3879  GAD p1 off=8 def=16 sig=16 | p2 off=12 def=1 sig=11  DEFGAD p1=speed_2 p2=wall  WIPE n=170 reach=7810 cred=505093 paid=3710 altkill=7830 altcost=3722 altdiff=4  wiper=170 block=169  | watch=1004 wipe=846 critical=741 wait=519 block=187 outmatched=45
137   Green    2          11016        0    12000      7      8      825    97237   105770  FOELOST=126098 FOESEEN=215180 OWNSEEN=97237  GAD p1 off=15 def=11 sig=15 | p2 off=30 def=33 sig=14  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=230 reach=286160 cred=1128980 paid=96069 altkill=285648 altcost=95521 altdiff=2  block=590 wiper=234 =1  | watch=3914 critical=2431 wait=1435 wipe=1149 block=664 outmatched=204
138   White    2           8350        0    53000      8      8      670    15436    62465  FOELOST=16040 FOESEEN=62465 OWNSEEN=15436  GAD p1 off=9 def=9 sig=16 | p2 off=10 def=26 sig=14  DEFGAD p1=heal_2 p2=speed_3  WIPE n=143 reach=23613 cred=53088 paid=14909 altkill=24526 altcost=15301 altdiff=21  block=527 wiper=143  | block=2055 watch=1195 wipe=734 critical=574 wait=465
139   Green    2           8293        0    11400      8      8      592    21466    36638  FOELOST=24421 FOESEEN=36638 OWNSEEN=21466  GAD p1 off=11 def=15 sig=15 | p2 off=5 def=16 sig=1  DEFGAD p1=heal_2 p2=heal_2  WIPE n=136 reach=33117 cred=72978 paid=21010 altkill=33083 altcost=20944 altdiff=1  block=456 wiper=136  | block=1907 watch=1114 wipe=686 critical=595 wait=550 free=80
140   White    1          17443    38158        0      8      7     1666    51761    67004  FOELOST=66954 FOESEEN=67004 OWNSEEN=304316  GAD p1 off=29 def=54 sig=22 | p2 off=29 def=41 sig=25  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=309 reach=156329 cred=300376 paid=49047 altkill=156329 altcost=49047 altdiff=0  block=1357 wiper=309  | block=6491 watch=3823 wait=1700 wipe=1544 critical=659 outmatched=580 free=500
141   Orange   2           8869        0    35128      8      8      510    22787    51051  FOELOST=34859 FOESEEN=51051 OWNSEEN=22787  GAD p1 off=26 def=27 sig=13 | p2 off=12 def=6 sig=17  DEFGAD p1=speed_3 p2=heal  WIPE n=130 reach=60173 cred=206388 paid=21647 altkill=60173 altcost=21608 altdiff=1  block=380 wiper=130  | outmatched=2130 block=1097 watch=879 critical=839 wipe=644 wait=235
142   Yellow   1           8379    37575        0      8      7      174      803    15159  FOELOST=14907 FOESEEN=15159 OWNSEEN=803  GAD p1 off=14 def=9 sig=14 | p2 off=14 def=25 sig=13  DEFGAD p1=wall_2 p2=speed_3  WIPE n=13 reach=1402 cred=9838 paid=195 altkill=1402 altcost=195 altdiff=0  block=159 wiper=14 =1  | watch=2148 wait=1319 critical=527 free=510 block=249 outmatched=245 wipe=63
143   Orange   1           7737    30145        0      8      8      416    14646   119303  FOELOST=119285 FOESEEN=119303 OWNSEEN=14646  GAD p1 off=16 def=15 sig=15 | p2 off=15 def=3 sig=15  DEFGAD p1=heal_2 p2=wall_2  WIPE n=74 reach=18954 cred=35028 paid=13620 altkill=18954 altcost=13620 altdiff=0  block=342 wiper=74  | wait=1380 watch=1111 critical=995 block=733 wipe=369 free=125
144   Yellow   1           9379    34000        0      8      5       36       72     1286  FOELOST=4166 FOESEEN=4166 OWNSEEN=85822  GAD p1 off=21 def=29 sig=10 | p2 off=23 def=15 sig=11  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=36  | watch=7979 critical=110 block=70 wait=15
145   Orange   2           8966        0    31930      8      8      759    27080    34850  FOELOST=29113 FOESEEN=34850 OWNSEEN=27080  GAD p1 off=11 def=28 sig=18 | p2 off=18 def=2 sig=24  DEFGAD p1=speed_3 p2=wall  WIPE n=275 reach=62899 cred=313847 paid=26596 altkill=62990 altcost=26621 altdiff=1  block=484 wiper=275  | block=2119 wipe=1367 critical=839 watch=685 wait=365 outmatched=240
146   Black    2           7546        0    28000      7      7      393     8876    26733  FOELOST=18455 FOESEEN=71078 OWNSEEN=8876  GAD p1 off=13 def=23 sig=19 | p2 off=9 def=22 sig=7  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=133 reach=14928 cred=862978 paid=8616 altkill=14928 altcost=8616 altdiff=0  block=260 wiper=133  | watch=3106 critical=1088 wait=804 wipe=802 block=468 outmatched=40
147   Purple   2           8057        0     1500      7      8      542    42972   100494  FOELOST=16454 FOESEEN=100494 OWNSEEN=42972  GAD p1 off=14 def=9 sig=14 | p2 off=5 def=2 sig=14  DEFGAD p1=wall_2 p2=wall  WIPE n=373 reach=113680 cred=1552425 paid=42652 altkill=113680 altcost=42652 altdiff=0  wiper=381 block=160 =1  | wipe=1871 watch=1314 wait=735 critical=670 block=125 outmatched=10
148   Black    1           8338    39924        0      8      8      370    10690    43554  FOELOST=34222 FOESEEN=43554 OWNSEEN=10690  GAD p1 off=12 def=10 sig=11 | p2 off=11 def=5 sig=9  DEFGAD p1=heal_2 p2=heal  WIPE n=90 reach=41892 cred=60362 paid=9850 altkill=41892 altcost=8847 altdiff=1  block=280 wiper=90  | outmatched=1240 wait=980 block=872 critical=553 watch=455 free=448 wipe=445
149   Purple   1          11977    23000        0      8      7      976     5547    34250  FOELOST=34225 FOESEEN=34250 OWNSEEN=191882  GAD p1 off=20 def=34 sig=18 | p2 off=20 def=31 sig=19  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=88 reach=12550 cred=28239 paid=4659 altkill=12550 altcost=4659 altdiff=0  block=888 wiper=88  | watch=4115 block=4005 wait=1045 critical=559 wipe=446 free=340 outmatched=10
150   Black    1           8340    37776        0      8      8      497    25381    86352  FOELOST=84975 FOESEEN=86352 OWNSEEN=25381  GAD p1 off=17 def=26 sig=16 | p2 off=16 def=8 sig=4  DEFGAD p1=speed_3 p2=heal_2  WIPE n=143 reach=31434 cred=195586 paid=24319 altkill=31366 altcost=24247 altdiff=1  block=354 wiper=143  | block=1225 watch=1075 wait=880 critical=752 wipe=707 free=335
151   Purple   1           8269    23539        0      8      8      625     7353    18636  FOELOST=18186 FOESEEN=18636 OWNSEEN=7353  GAD p1 off=23 def=8 sig=7 | p2 off=16 def=26 sig=13  DEFGAD p1=wall_2 p2=speed_3  WIPE n=113 reach=13281 cred=26963 paid=6345 altkill=13281 altcost=6345 altdiff=0  block=509 wiper=115 =1  | block=1702 watch=1068 critical=818 wipe=576 free=485 wait=265
152   Blue     2           8453        0    31451      7      8      457    44597    93746  FOELOST=47494 FOESEEN=93746 OWNSEEN=44597  GAD p1 off=10 def=17 sig=13 | p2 off=20 def=11 sig=17  DEFGAD p1=heal_2 p2=heal_2  WIPE n=159 reach=62514 cred=1166419 paid=43405 altkill=62514 altcost=43405 altdiff=0  block=298 wiper=159  | wait=1500 critical=1472 watch=1380 wipe=796 block=270 outmatched=5
153   Red      2           5573        0     2000      6      6      166     8851     6354  FOELOST=4964 FOESEEN=8454 OWNSEEN=8851  GAD p1 off=9 def=8 sig=13 | p2 off=10 def=15 sig=6  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=39 reach=9761 cred=43577 paid=8724 altkill=9761 altcost=8724 altdiff=0  block=127 wiper=39  | watch=3155 critical=602 wait=200 wipe=196 outmatched=160 block=44
154   Blue     2           9649        0    31235      7      8      565    30593    61248  FOELOST=39643 FOESEEN=61248 OWNSEEN=110428  GAD p1 off=28 def=28 sig=12 | p2 off=10 def=4 sig=24  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=121 reach=50074 cred=273075 paid=29705 altkill=50074 altcost=29705 altdiff=0  block=444 wiper=121  | watch=4033 block=1620 wait=675 wipe=617 critical=608 outmatched=335
155   Red      2           6068        0    30319      5      6      257     3855    11863  FOELOST=5173 FOESEEN=21638 OWNSEEN=3855  GAD p1 off=8 def=8 sig=4 | p2 off=6 def=16 sig=8  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=130 reach=6233 cred=178059 paid=3728 altkill=6279 altcost=3753 altdiff=1  wiper=130 block=127  | watch=2490 wipe=1003 critical=732 wait=450 outmatched=120 block=65
156   Blue     1           8899     9086        0      8      8      495     6897    34219  FOELOST=33550 FOESEEN=34219 OWNSEEN=6897  GAD p1 off=13 def=5 sig=16 | p2 off=11 def=9 sig=21  DEFGAD p1=wall_2 p2=wall_2  WIPE n=125 reach=13147 cred=32490 paid=6532 altkill=13147 altcost=6532 altdiff=0  block=367 wiper=127 =1  | watch=1768 block=1597 wipe=820 free=810 critical=326 wait=245
157   Red      2           6343        0     8910      5      7      204     3604     9786  FOELOST=6346 FOESEEN=24556 OWNSEEN=3604  GAD p1 off=5 def=8 sig=6 | p2 off=11 def=17 sig=5  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=134 reach=7519 cred=236939 paid=3464 altkill=7519 altcost=3464 altdiff=0  wiper=134 block=70  | watch=3285 wait=775 wipe=675 critical=380 outmatched=20
158   Green    2          10077        0    29569      5      7      381     6403    18760  FOELOST=9286 FOESEEN=18760 OWNSEEN=9283  GAD p1 off=11 def=15 sig=10 | p2 off=15 def=26 sig=12  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=253 reach=9845 cred=546762 paid=6019 altkill=9335 altcost=5178 altdiff=13  wiper=253 block=128  | watch=3655 wait=2690 wipe=1272 critical=705 outmatched=350 block=15
159   White    1           6887    14690        0      7      6       43      249     4763  FOELOST=4743 FOESEEN=4763 OWNSEEN=43319  GAD p1 off=12 def=20 sig=11 | p2 off=12 def=8 sig=9  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=10 reach=280 cred=2327 paid=117 altkill=280 altcost=117 altdiff=0  block=33 wiper=10  | watch=4736 wait=490 critical=149 wipe=50 block=25

CHECKSUM C01F32F743EFA6D4C5F5217D717C1D2B
