BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7519    21000        0      8      8      234     4420    21410  FOELOST=18352 FOESEEN=21410 OWNSEEN=4420  GAD p1 off=9 def=23 sig=15 | p2 off=13 def=3 sig=9  DEFGAD p1=speed_3 p2=wall_2  WIPE n=34 reach=8556 cred=16612 paid=3820 altkill=9360 altcost=4155 altdiff=2  block=200 wiper=34  | watch=1675 wait=960 block=610 critical=421 free=295 wipe=167 outmatched=40
131   Blue     2           6980        0    44700      7      7      271     5919    26389  FOELOST=8449 FOESEEN=26389 OWNSEEN=5919  GAD p1 off=17 def=15 sig=11 | p2 off=5 def=22 sig=11  DEFGAD p1=speed_2 p2=speed_3  WIPE n=20 reach=6409 cred=239373 paid=5668 altkill=6409 altcost=5668 altdiff=0  block=251 wiper=20  | watch=1810 critical=1109 outmatched=334 block=192 wait=104 wipe=98
132   Red      2           7447        0    15289      7      8      359     6376    32428  FOELOST=21147 FOESEEN=32428 OWNSEEN=6376  GAD p1 off=9 def=22 sig=12 | p2 off=9 def=5 sig=14  DEFGAD p1=speed_3 p2=heal  WIPE n=40 reach=10192 cred=28656 paid=6057 altkill=10216 altcost=6057 altdiff=0  block=319 wiper=40  | block=1499 watch=1494 wait=810 critical=406 wipe=197 outmatched=10
133   Blue     1           8689    56000        0      8      7      365    18974     6653  FOELOST=33462 FOESEEN=33498 OWNSEEN=18974  GAD p1 off=21 def=9 sig=17 | p2 off=12 def=22 sig=12  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=49 reach=25091 cred=47153 paid=18053 altkill=25091 altcost=18053 altdiff=0  block=311 wiper=51 =3  | watch=3760 critical=859 outmatched=820 block=691 wait=575 free=525 wipe=242
134   Red      1           8059    34550        0      8      8      307     1482    22959  FOELOST=21614 FOESEEN=22959 OWNSEEN=1482  GAD p1 off=23 def=3 sig=11 | p2 off=13 def=5 sig=18  DEFGAD p1=heal p2=wall_2  WIPE n=14 reach=1144 cred=2465 paid=603 altkill=1144 altcost=603 altdiff=0  block=293 wiper=14  | wait=1390 watch=984 block=933 critical=575 free=555 outmatched=230 wipe=70
135   Green    1           6833    34000        0      7      5       12       59      995  FOELOST=3866 FOESEEN=3875 OWNSEEN=34764  GAD p1 off=8 def=19 sig=11 | p2 off=9 def=15 sig=7  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=1 reach=69 cred=69 paid=15 altkill=69 altcost=15 altdiff=0  block=11 wiper=1  | watch=5568 block=55 wipe=5
136   White    2           6302        0     2000      8      7      272     1787    33930  FOELOST=5070 FOESEEN=33930 OWNSEEN=1787  GAD p1 off=8 def=12 sig=12 | p2 off=9 def=1 sig=10  DEFGAD p1=speed_2 p2=wall  WIPE n=45 reach=3328 cred=83883 paid=1560 altkill=3363 altcost=1566 altdiff=2  block=227 wiper=45  | critical=1044 watch=864 wait=550 block=250 wipe=223 outmatched=39
137   Green    2           9141        0     2000      7      7      731    34630    56126  FOELOST=84487 FOESEEN=130046 OWNSEEN=34630  GAD p1 off=18 def=12 sig=8 | p2 off=24 def=27 sig=10  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=82 reach=70735 cred=662551 paid=33356 altkill=74434 altcost=34163 altdiff=7  block=645 wiper=85 =1  | watch=3303 critical=3053 wait=765 wipe=411 outmatched=240 block=145
138   White    2           7250        0    31547      7      6      599     4493    17212  FOELOST=14341 FOESEEN=17212 OWNSEEN=4493  GAD p1 off=7 def=7 sig=15 | p2 off=6 def=22 sig=11  DEFGAD p1=heal_2 p2=speed_3  WIPE n=62 reach=8610 cred=194800 paid=3956 altkill=8775 altcost=4022 altdiff=6  block=537 wiper=62  | critical=1827 block=951 wait=435 wipe=307 watch=250 outmatched=150
139   Green    2           8539        0    17659      8      8      407     3190    32008  FOELOST=30000 FOESEEN=32008 OWNSEEN=3190  GAD p1 off=11 def=13 sig=15 | p2 off=6 def=14 sig=3  DEFGAD p1=heal_2 p2=heal_2  WIPE n=37 reach=4279 cred=11719 paid=2820 altkill=4303 altcost=2820 altdiff=0  block=370 wiper=37  | block=1699 watch=1428 wait=825 free=620 critical=390 wipe=182 outmatched=45
140   White    1          11025    35364        0      8      7      735     4043    34902  FOELOST=34877 FOESEEN=34902 OWNSEEN=122093  GAD p1 off=22 def=33 sig=14 | p2 off=19 def=31 sig=16  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=25 reach=4001 cred=5529 paid=2623 altkill=4033 altcost=2623 altdiff=0  block=710 wiper=25  | watch=3145 block=2832 wait=1715 critical=726 free=340 wipe=125 outmatched=25
141   Orange   1           9109    17659        0      8      8      488     8355    52113  FOELOST=33373 FOESEEN=52113 OWNSEEN=8355  GAD p1 off=26 def=28 sig=14 | p2 off=13 def=7 sig=18  DEFGAD p1=speed_3 p2=heal_2  WIPE n=35 reach=15591 cred=60250 paid=6996 altkill=15717 altcost=6957 altdiff=1  block=453 wiper=35  | outmatched=1850 critical=1270 watch=1209 block=1077 free=385 wipe=172 wait=105
142   Yellow   1           8389    36183        0      8      6      191     2491    15114  FOELOST=15073 FOESEEN=15114 OWNSEEN=2491  GAD p1 off=14 def=6 sig=14 | p2 off=13 def=23 sig=11  DEFGAD p1=wall_2 p2=speed_3  WIPE n=9 reach=2415 cred=8290 paid=1787 altkill=2436 altcost=1787 altdiff=0  block=181 wiper=9 =1  | watch=3258 critical=598 free=325 block=320 wait=285 outmatched=245 wipe=45
143   Orange   2           7759        0    67000      8      8      282     7083    20397  FOELOST=16612 FOESEEN=20397 OWNSEEN=7083  GAD p1 off=16 def=15 sig=15 | p2 off=14 def=3 sig=15  DEFGAD p1=heal_2 p2=wall_2  WIPE n=32 reach=8004 cred=19414 paid=6333 altkill=8274 altcost=6411 altdiff=1  block=250 wiper=32  | watch=1395 wait=1245 critical=726 free=600 block=552 wipe=158 outmatched=60
144   Yellow   1           9379    34000        0      8      5       36       72     1286  FOELOST=4166 FOESEEN=4166 OWNSEEN=85822  GAD p1 off=21 def=29 sig=10 | p2 off=23 def=15 sig=11  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=36  | watch=7979 critical=110 block=70 wait=15
145   Orange   2           7965        0    31930      7      8      508     6576    27380  FOELOST=19271 FOESEEN=27380 OWNSEEN=6576  GAD p1 off=10 def=24 sig=15 | p2 off=9 def=1 sig=21  DEFGAD p1=speed_3 p2=wall  WIPE n=70 reach=8838 cred=60419 paid=6138 altkill=8970 altcost=6163 altdiff=1  block=438 wiper=70  | critical=1323 outmatched=990 block=853 watch=595 wait=475 wipe=355 free=35
146   Black    2           6550        0    21500      7      7      244     1624    14406  FOELOST=6766 FOESEEN=41006 OWNSEEN=1624  GAD p1 off=11 def=19 sig=16 | p2 off=7 def=19 sig=6  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=34 reach=2152 cred=120194 paid=1414 altkill=2154 altcost=1414 altdiff=0  block=210 wiper=34  | watch=3033 critical=759 wait=670 block=559 wipe=262 outmatched=39
147   Purple   2           8248        0     1600      8      8      480    13748    58933  FOELOST=17883 FOESEEN=58933 OWNSEEN=13748  GAD p1 off=17 def=11 sig=13 | p2 off=4 def=1 sig=15  DEFGAD p1=wall_3 p2=wall  WIPE n=79 reach=23565 cred=369945 paid=12968 altkill=23983 altcost=13135 altdiff=4  block=396 wiper=83 =1  | watch=1444 critical=1196 wait=960 block=758 wipe=499 outmatched=60
148   Black    1           8299    30157        0      8      8      402     8373    41685  FOELOST=39914 FOESEEN=41685 OWNSEEN=8373  GAD p1 off=13 def=9 sig=11 | p2 off=10 def=11 sig=9  DEFGAD p1=heal_2 p2=heal_2  WIPE n=21 reach=16982 cred=19721 paid=7230 altkill=17022 altcost=7230 altdiff=0  block=381 wiper=21  | block=1116 wait=995 critical=885 outmatched=705 watch=665 free=480 wipe=109
149   Purple   1          11340    10220        0      8      7      747     1059    31340  FOELOST=31315 FOESEEN=31340 OWNSEEN=177804  GAD p1 off=19 def=33 sig=18 | p2 off=19 def=31 sig=17  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=10 reach=1219 cred=1490 paid=322 altkill=1219 altcost=322 altdiff=0  block=737 wiper=10  | watch=4483 block=2553 critical=1463 wait=1050 free=280 wipe=50 outmatched=10
150   Black    1           7624    24303        0      8      8      238     4306    33619  FOELOST=30202 FOESEEN=33619 OWNSEEN=4306  GAD p1 off=14 def=22 sig=15 | p2 off=12 def=4 sig=2  DEFGAD p1=speed_3 p2=heal  WIPE n=36 reach=4896 cred=16305 paid=3700 altkill=5358 altcost=4098 altdiff=2  block=202 wiper=36  | watch=1540 wait=1040 critical=784 block=321 free=314 wipe=178 outmatched=95
151   Purple   1           8119    24970        0      8      8      430     1997    14549  FOELOST=14174 FOESEEN=14549 OWNSEEN=1997  GAD p1 off=22 def=9 sig=8 | p2 off=16 def=25 sig=13  DEFGAD p1=wall_2 p2=speed_3  WIPE n=37 reach=2035 cred=5032 paid=1229 altkill=2075 altcost=1229 altdiff=0  block=388 wiper=41 =1  | watch=1560 block=1432 wait=590 critical=503 free=500 wipe=183
152   Blue     1           9842    45498        0      8      8      557    92396    82188  FOELOST=82170 FOESEEN=82188 OWNSEEN=92396  GAD p1 off=11 def=17 sig=18 | p2 off=24 def=9 sig=20  DEFGAD p1=heal_2 p2=heal_2  WIPE n=61 reach=107600 cred=304114 paid=90412 altkill=107636 altcost=90423 altdiff=1  block=496 wiper=61  | watch=1931 critical=1705 wait=1060 block=941 free=435 outmatched=425 wipe=314
153   Red      2           5858        0     2000      7      6      237     1278     6871  FOELOST=4848 FOESEEN=8971 OWNSEEN=1278  GAD p1 off=10 def=7 sig=14 | p2 off=11 def=15 sig=7  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=25 reach=2577 cred=20836 paid=1066 altkill=2577 altcost=1066 altdiff=0  block=212 wiper=25  | watch=3155 critical=893 outmatched=255 block=184 wipe=128 wait=25
154   Blue     2           9560        0    60290      8      8      446     2579    45771  FOELOST=42691 FOESEEN=45771 OWNSEEN=82414  GAD p1 off=27 def=28 sig=10 | p2 off=10 def=5 sig=24  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=23 reach=2530 cred=5171 paid=1733 altkill=2530 altcost=1733 altdiff=0  block=423 wiper=23  | watch=4294 block=1543 wait=1020 critical=655 outmatched=180 wipe=113
155   Red      2           6299        0    25102      5      7      273     2635    14481  FOELOST=6548 FOESEEN=31151 OWNSEEN=2635  GAD p1 off=10 def=10 sig=4 | p2 off=7 def=17 sig=9  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=50 reach=3801 cred=47120 paid=2412 altkill=3906 altcost=2437 altdiff=1  block=223 wiper=50  | watch=2780 critical=1331 outmatched=325 wait=285 wipe=254 block=112
156   Blue     1           8629    20000        0      8      8      455     3871    38022  FOELOST=35715 FOESEEN=38022 OWNSEEN=3871  GAD p1 off=12 def=5 sig=16 | p2 off=12 def=3 sig=23  DEFGAD p1=wall_2 p2=wall_2  WIPE n=41 reach=6017 cred=14532 paid=3462 altkill=6017 altcost=3462 altdiff=0  block=412 wiper=42 =1  | block=1635 watch=1398 free=745 wait=680 critical=581 wipe=207 outmatched=55
157   Red      2           6119        0     1380      5      7      193     2128    14268  FOELOST=6194 FOESEEN=29038 OWNSEEN=2128  GAD p1 off=6 def=10 sig=5 | p2 off=9 def=17 sig=5  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=35 reach=3296 cred=56481 paid=1812 altkill=4168 altcost=2304 altdiff=6  block=158 wiper=35  | watch=3320 critical=814 wait=540 wipe=179 outmatched=60
158   Green    2           9387        0    29713      5      7      281     4676    20333  FOELOST=11407 FOESEEN=20333 OWNSEEN=7556  GAD p1 off=11 def=15 sig=10 | p2 off=14 def=25 sig=11  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=74 reach=9146 cred=61132 paid=4055 altkill=8595 altcost=3193 altdiff=7  block=207 wiper=74  | watch=3135 wait=2195 outmatched=1245 critical=1053 wipe=369
159   White    1           6794    14309        0      7      6       35      173     4614  FOELOST=4577 FOESEEN=4614 OWNSEEN=34878  GAD p1 off=11 def=19 sig=11 | p2 off=11 def=8 sig=9  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=4 reach=180 cred=1097 paid=49 altkill=180 altcost=49 altdiff=0  block=31 wiper=4  | watch=4639 wait=505 critical=159 outmatched=30 wipe=19 block=5

CHECKSUM 08D37B44F141015796F43291E4546F3E
