BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7623    34000        0      8      8      340    11737    24596  FOELOST=24286 FOESEEN=24596 OWNSEEN=11737  GAD p1 off=10 def=24 sig=15 | p2 off=14 def=2 sig=9  DEFGAD p1=speed_3 p2=wall  WIPE n=103 reach=17587 cred=37120 paid=11026 altkill=18148 altcost=11416 altdiff=5  block=237 wiper=103  | watch=1257 wait=1075 critical=632 block=582 wipe=511 free=210
132   Red      2           8431        0    29963      7      8      621    33008   118559  FOELOST=109047 FOESEEN=118559 OWNSEEN=33008  GAD p1 off=12 def=24 sig=14 | p2 off=12 def=8 sig=16  DEFGAD p1=speed_3 p2=heal_2  WIPE n=118 reach=49223 cred=140966 paid=32505 altkill=50676 altcost=33485 altdiff=6  block=503 wiper=118  | critical=1842 watch=1725 block=673 wipe=597 wait=555
133   Blue     1          10547    56000        0      8      7      454   131617    11532  FOELOST=56032 FOESEEN=56052 OWNSEEN=131617  GAD p1 off=25 def=8 sig=21 | p2 off=15 def=27 sig=14  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=250 reach=165831 cred=305119 paid=131029 altkill=169687 altcost=133122 altdiff=3  wiper=254 block=197 =3  | watch=4367 wipe=1313 outmatched=1165 wait=1095 critical=633 free=390 block=359
134   Red      1           8269     6322        0      8      8      320     3366    26667  FOELOST=25943 FOESEEN=26667 OWNSEEN=3366  GAD p1 off=23 def=5 sig=11 | p2 off=13 def=3 sig=18  DEFGAD p1=heal p2=wall_2  WIPE n=51 reach=4224 cred=6739 paid=2559 altkill=4314 altcost=2559 altdiff=0  block=269 wiper=51  | watch=1209 block=977 wait=915 free=665 outmatched=545 critical=372 wipe=263
135   Green    1           6923    31450        0      7      5       12       70      911  FOELOST=3782 FOESEEN=3791 OWNSEEN=43140  GAD p1 off=9 def=20 sig=11 | p2 off=9 def=15 sig=7  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=2 reach=138 cred=200 paid=30 altkill=138 altcost=30 altdiff=0  block=10 wiper=2  | watch=5657 block=50 wipe=10
136   White    2           7742        0     2000      8      7      469     3533    62736  FOELOST=7770 FOESEEN=62736 OWNSEEN=3533  GAD p1 off=10 def=22 sig=19 | p2 off=18 def=1 sig=12  DEFGAD p1=speed_3 p2=wall  WIPE n=201 reach=5013 cred=1552779 paid=3265 altkill=5203 altcost=3340 altdiff=13  block=268 wiper=201  | critical=1616 watch=1039 wipe=1003 wait=509 block=227 outmatched=10
137   Green    2           9222        0    12000      7      7      581    62405    50011  FOELOST=81090 FOESEEN=123931 OWNSEEN=62405  GAD p1 off=15 def=10 sig=11 | p2 off=26 def=27 sig=9  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=212 reach=202127 cred=1106034 paid=61687 altkill=201907 altcost=61413 altdiff=1  block=360 wiper=220 =1  | watch=3599 critical=1630 wipe=1060 wait=950 block=525 outmatched=240
138   White    2           6795        0     6900      7      7      460     8373    42297  FOELOST=11677 FOESEEN=42297 OWNSEEN=8373  GAD p1 off=6 def=7 sig=13 | p2 off=5 def=21 sig=11  DEFGAD p1=heal_2 p2=speed_2  WIPE n=152 reach=18161 cred=795096 paid=8065 altkill=19164 altcost=8364 altdiff=32  block=308 wiper=152  | critical=1277 wipe=773 watch=630 wait=530 block=257
139   Green    2           8539        0    34000      8      8      576     8369    46806  FOELOST=32010 FOESEEN=46806 OWNSEEN=8369  GAD p1 off=12 def=14 sig=15 | p2 off=6 def=16 sig=3  DEFGAD p1=heal_2 p2=heal_2  WIPE n=103 reach=12805 cred=31850 paid=7896 altkill=12960 altcost=7834 altdiff=2  block=473 wiper=103  | block=1971 watch=1289 wait=680 critical=610 wipe=522 free=110
140   White    1          11233    32703        0      8      7      735     4445    24878  FOELOST=24728 FOESEEN=24878 OWNSEEN=128900  GAD p1 off=23 def=34 sig=16 | p2 off=20 def=31 sig=17  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=39 reach=9291 cred=11389 paid=3053 altkill=9359 altcost=3053 altdiff=0  block=696 wiper=39  | watch=3403 block=2859 wait=1570 critical=639 free=405 wipe=194 outmatched=45
141   Orange   2           9199        0    67000      7      8      541    38645    79266  FOELOST=46553 FOESEEN=79266 OWNSEEN=38645  GAD p1 off=27 def=27 sig=14 | p2 off=13 def=10 sig=18  DEFGAD p1=speed_3 p2=heal_2  WIPE n=115 reach=71935 cred=218614 paid=37367 altkill=74568 altcost=37426 altdiff=1  block=426 wiper=115  | outmatched=2220 critical=1405 watch=1054 block=759 wipe=564 wait=145
142   Yellow   1           8299    21605        0      8      7      182      975    13114  FOELOST=12863 FOESEEN=13114 OWNSEEN=975  GAD p1 off=13 def=7 sig=14 | p2 off=14 def=25 sig=12  DEFGAD p1=wall_2 p2=speed_3  WIPE n=25 reach=2091 cred=7692 paid=375 altkill=2091 altcost=375 altdiff=0  block=151 wiper=30 =1  | watch=2223 wait=1310 critical=725 free=450 wipe=123 outmatched=110 block=44
143   Orange   2           8299        0    78000      8      8      511    97440    52532  FOELOST=39514 FOESEEN=52532 OWNSEEN=97440  GAD p1 off=18 def=14 sig=16 | p2 off=17 def=4 sig=16  DEFGAD p1=heal_2 p2=wall_2  WIPE n=113 reach=132824 cred=180951 paid=96246 altkill=141164 altcost=101230 altdiff=13  block=398 wiper=113  | block=1324 wait=1310 watch=1069 critical=735 wipe=681 free=150
144   Yellow   1           9379    34000        0      8      5       36       72     1286  FOELOST=4166 FOESEEN=4166 OWNSEEN=85822  GAD p1 off=21 def=29 sig=10 | p2 off=23 def=15 sig=11  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=36  | watch=7979 critical=110 block=70 wait=15
145   Orange   2           7998        0    20000      8      8      575    13087    40110  FOELOST=14231 FOESEEN=40110 OWNSEEN=13087  GAD p1 off=8 def=26 sig=15 | p2 off=11 def=3 sig=20  DEFGAD p1=speed_3 p2=wall_2  WIPE n=241 reach=19327 cred=124866 paid=12753 altkill=21173 altcost=13698 altdiff=21  block=334 wiper=241  | wipe=1284 watch=1010 block=953 critical=722 outmatched=365 wait=320
146   Black    2           7084        0    21500      6      7      331    13428    21223  FOELOST=13083 FOESEEN=54921 OWNSEEN=13428  GAD p1 off=12 def=22 sig=16 | p2 off=6 def=21 sig=6  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=134 reach=19168 cred=903425 paid=13231 altkill=19575 altcost=13498 altdiff=2  block=197 wiper=134  | watch=2978 wait=940 critical=864 wipe=736 block=284 outmatched=55
147   Purple   2           8667        0     1500      8      8      639    38410   127945  FOELOST=23169 FOESEEN=127945 OWNSEEN=38410  GAD p1 off=18 def=10 sig=14 | p2 off=5 def=4 sig=16  DEFGAD p1=wall_3 p2=wall_2  WIPE n=340 reach=115478 cred=2952356 paid=37832 altkill=118912 altcost=38414 altdiff=6  wiper=347 block=291 =1  | wipe=1914 watch=1189 critical=1048 wait=775 block=405
148   Black    1           8209    24833        0      8      8      231     3231    33013  FOELOST=31355 FOESEEN=33013 OWNSEEN=3231  GAD p1 off=13 def=11 sig=11 | p2 off=10 def=7 sig=9  DEFGAD p1=heal_2 p2=heal_2  WIPE n=45 reach=4727 cred=12775 paid=2673 altkill=4816 altcost=2712 altdiff=4  block=186 wiper=45  | wait=2175 block=770 watch=730 free=600 critical=235 wipe=228 outmatched=130
149   Purple   1          11775    11672        0      8      7      890     2974    27381  FOELOST=27356 FOESEEN=27381 OWNSEEN=189309  GAD p1 off=19 def=34 sig=18 | p2 off=20 def=31 sig=19  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=69 reach=7195 cred=14471 paid=2153 altkill=7549 altcost=2177 altdiff=1  block=821 wiper=69  | watch=4413 block=2767 critical=1416 wait=1080 wipe=342 free=290 outmatched=10
150   Black    1           7716    20757        0      8      8      290    21326    59703  FOELOST=59550 FOESEEN=59703 OWNSEEN=21326  GAD p1 off=15 def=23 sig=15 | p2 off=13 def=4 sig=1  DEFGAD p1=speed_3 p2=heal  WIPE n=97 reach=23694 cred=102235 paid=20747 altkill=24437 altcost=21215 altdiff=6  block=193 wiper=97  | watch=1341 wait=1140 critical=817 wipe=480 free=395 block=183
151   Purple   1           8269    25195        0      8      8      632     7149    18636  FOELOST=18311 FOESEEN=18636 OWNSEEN=7149  GAD p1 off=23 def=8 sig=8 | p2 off=16 def=26 sig=13  DEFGAD p1=wall_2 p2=speed_3  WIPE n=111 reach=12240 cred=25810 paid=6123 altkill=12570 altcost=6201 altdiff=2  block=518 wiper=113 =1  | block=1741 watch=1078 critical=823 wipe=567 free=474 wait=230
152   Blue     2           8253        0    45000      8      8      521   108116    93094  FOELOST=33420 FOESEEN=93094 OWNSEEN=108116  GAD p1 off=12 def=11 sig=14 | p2 off=19 def=7 sig=16  DEFGAD p1=heal_2 p2=heal_2  WIPE n=168 reach=226450 cred=475417 paid=106704 altkill=227071 altcost=106726 altdiff=2  block=353 wiper=168  | critical=1635 wipe=1174 watch=1015 wait=865 outmatched=260 block=177 free=95
153   Red      2           5623        0     2000      6      6      175     6550     6350  FOELOST=5707 FOESEEN=8450 OWNSEEN=6550  GAD p1 off=9 def=8 sig=13 | p2 off=10 def=15 sig=6  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=38 reach=7179 cred=43468 paid=6413 altkill=7179 altcost=6413 altdiff=0  block=137 wiper=38  | watch=3155 critical=652 wait=205 wipe=191 outmatched=160 block=44
154   Blue     2           9386        0    25605      7      8      437     7218    42763  FOELOST=35321 FOESEEN=42763 OWNSEEN=81138  GAD p1 off=27 def=27 sig=12 | p2 off=12 def=4 sig=23  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=87 reach=11545 cred=66277 paid=6518 altkill=11546 altcost=6518 altdiff=0  block=350 wiper=87  | watch=4089 block=1375 critical=668 wait=615 wipe=438 outmatched=425 free=20
155   Red      2           5857        0    18425      5      6      285     3790    12667  FOELOST=5320 FOESEEN=15547 OWNSEEN=3790  GAD p1 off=7 def=8 sig=4 | p2 off=5 def=15 sig=7  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=94 reach=5404 cred=230819 paid=3599 altkill=5486 altcost=3624 altdiff=1  block=191 wiper=94  | watch=2475 critical=930 wipe=823 wait=340 outmatched=55 block=25
156   Blue     1           8929     1719        0      8      8      491     7864    36302  FOELOST=34102 FOESEEN=36302 OWNSEEN=7864  GAD p1 off=13 def=5 sig=16 | p2 off=11 def=6 sig=21  DEFGAD p1=wall_2 p2=wall_2  WIPE n=129 reach=14399 cred=33728 paid=7507 altkill=14893 altcost=7555 altdiff=2  block=358 wiper=132 =1  | watch=1773 block=1637 free=810 wipe=793 wait=265 critical=254 outmatched=65
157   Red      2           6212        0      790      5      7      344     3367    15914  FOELOST=5996 FOESEEN=36599 OWNSEEN=3367  GAD p1 off=5 def=8 sig=6 | p2 off=9 def=18 sig=5  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=95 reach=4823 cred=242774 paid=2869 altkill=6009 altcost=3463 altdiff=5  block=249 wiper=95  | watch=3140 critical=1256 wipe=471 wait=100 block=30 outmatched=5
158   Green    2           9297        0    28213      5      7      266     4658    16645  FOELOST=9857 FOESEEN=16645 OWNSEEN=7538  GAD p1 off=12 def=15 sig=10 | p2 off=14 def=25 sig=11  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=135 reach=8260 cred=94013 paid=4265 altkill=8495 altcost=4167 altdiff=2  wiper=135 block=131  | watch=3205 wait=3125 wipe=677 critical=666 outmatched=235
159   White    1           6889    14683        0      7      6       41      229     4892  FOELOST=4858 FOESEEN=4892 OWNSEEN=43299  GAD p1 off=12 def=20 sig=11 | p2 off=12 def=9 sig=9  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=10 reach=195 cred=2065 paid=105 altkill=286 altcost=117 altdiff=2  block=31 wiper=10  | watch=4728 wait=510 critical=154 wipe=49 block=10

CHECKSUM 390DE7E01D6E8573E746F5EDB631638D
