BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      2           6011        0     2000      8      6      263     1269    18004  FOELOST=2274 FOESEEN=18004 OWNSEEN=1269  GAD p1 off=7 def=17 sig=11 | p2 off=9 def=1 sig=6  DEFGAD p1=speed_2 p2=wall  WIPE n=16 reach=1123 cred=81822 paid=528 altkill=1179 altcost=528 altdiff=0  block=247 wiper=16  | critical=1389 watch=530 wait=320 block=208 outmatched=135 wipe=80
132   Red      2           6699        0     5400      6      7      352     7415    72023  FOELOST=40003 FOESEEN=72023 OWNSEEN=7415  GAD p1 off=9 def=19 sig=11 | p2 off=9 def=3 sig=13  DEFGAD p1=speed_2 p2=heal  WIPE n=20 reach=10876 cred=39886 paid=7083 altkill=10876 altcost=7083 altdiff=0  block=332 wiper=20  | critical=1589 watch=795 outmatched=705 wait=405 wipe=96 block=78
133   Blue     1           8414    53168        0      8      7      356    12350     6233  FOELOST=25984 FOESEEN=26008 OWNSEEN=12350  GAD p1 off=20 def=10 sig=17 | p2 off=11 def=20 sig=11  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=22 reach=17116 cred=22534 paid=11378 altkill=17263 altcost=11456 altdiff=1  block=329 wiper=24 =3  | watch=3734 wait=1020 critical=1007 block=631 outmatched=440 free=254 wipe=109
134   Red      1           8029    23581        0      8      8      320     1383    20052  FOELOST=19974 FOESEEN=20052 OWNSEEN=1383  GAD p1 off=23 def=3 sig=11 | p2 off=14 def=5 sig=17  DEFGAD p1=heal p2=wall_2  WIPE n=9 reach=936 cred=2157 paid=450 altkill=962 altcost=450 altdiff=0  block=311 wiper=9  | wait=1340 watch=1119 block=1105 critical=499 free=435 outmatched=160 wipe=50
135   Green    1           6833    34000        0      7      5       12       59      995  FOELOST=3866 FOESEEN=3875 OWNSEEN=34764  GAD p1 off=8 def=19 sig=11 | p2 off=9 def=15 sig=7  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=1 reach=69 cred=69 paid=15 altkill=69 altcost=15 altdiff=0  block=11 wiper=1  | watch=5568 block=55 wipe=5
136   White    2           7112        0     2000      8      7      464      716    46717  FOELOST=2678 FOESEEN=46717 OWNSEEN=716  GAD p1 off=9 def=21 sig=18 | p2 off=14 def=1 sig=11  DEFGAD p1=speed_2 p2=wall  WIPE n=18 reach=535 cred=77885 paid=270 altkill=540 altcost=270 altdiff=0  block=446 wiper=18  | critical=2492 watch=538 wait=314 block=303 wipe=90 outmatched=30
137   Green    1           9949    25488        0      8      8      719    10570    52892  FOELOST=129564 FOESEEN=144557 OWNSEEN=10570  GAD p1 off=22 def=9 sig=14 | p2 off=27 def=30 sig=13  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=25 reach=9670 cred=48496 paid=9200 altkill=9478 altcost=8926 altdiff=1  block=692 wiper=26 =1  | watch=3395 critical=2750 block=961 wait=870 free=535 wipe=128 outmatched=90
138   White    2           6715        0    27213      7      6      554     3754    14469  FOELOST=11865 FOESEEN=14469 OWNSEEN=3754  GAD p1 off=8 def=4 sig=12 | p2 off=6 def=20 sig=10  DEFGAD p1=heal p2=speed_2  WIPE n=23 reach=5988 cred=68897 paid=3223 altkill=6083 altcost=3293 altdiff=2  block=531 wiper=23  | block=1499 critical=1202 wait=245 outmatched=235 wipe=115 watch=90
139   Green    2           8479        0    67000      8      8      365     2572    46507  FOELOST=41452 FOESEEN=46507 OWNSEEN=2572  GAD p1 off=12 def=10 sig=15 | p2 off=7 def=15 sig=1  DEFGAD p1=heal_2 p2=heal_2  WIPE n=19 reach=3614 cred=7757 paid=2226 altkill=3614 altcost=2226 altdiff=0  block=346 wiper=19  | watch=2134 block=1074 wait=770 critical=711 free=275 wipe=100 outmatched=70
140   White    1          12899     9614        0      8      7     1051    16238    47915  FOELOST=47915 FOESEEN=47915 OWNSEEN=172718  GAD p1 off=25 def=39 sig=18 | p2 off=22 def=33 sig=19  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=17 reach=15123 cred=38112 paid=14170 altkill=15123 altcost=14170 altdiff=0  block=1034 wiper=17  | critical=2891 watch=2849 block=2380 wait=1690 outmatched=625 free=255 wipe=84
141   Orange   1           8949     3693        0      8      8      537     4737    47780  FOELOST=31827 FOESEEN=47780 OWNSEEN=4737  GAD p1 off=26 def=28 sig=14 | p2 off=12 def=9 sig=18  DEFGAD p1=speed_3 p2=heal_2  WIPE n=11 reach=5068 cred=14367 paid=3159 altkill=5068 altcost=3159 altdiff=0  block=526 wiper=11  | outmatched=1585 critical=1450 block=1269 watch=1194 free=260 wait=85 wipe=54
142   Yellow   1           8359    26791        0      8      7      164     2363    14548  FOELOST=13994 FOESEEN=14548 OWNSEEN=2363  GAD p1 off=13 def=7 sig=14 | p2 off=13 def=22 sig=11  DEFGAD p1=wall_2 p2=speed_3  WIPE n=7 reach=5138 cred=8701 paid=1763 altkill=5138 altcost=1763 altdiff=0  block=156 wiper=7 =1  | watch=3078 critical=568 free=430 outmatched=420 wait=305 block=209 wipe=35
143   Orange   2           7206        0     2000      8      8      398     5081    40313  FOELOST=16548 FOESEEN=40313 OWNSEEN=5081  GAD p1 off=14 def=12 sig=14 | p2 off=13 def=1 sig=14  DEFGAD p1=heal_2 p2=wall  WIPE n=27 reach=10686 cred=154734 paid=3968 altkill=10686 altcost=3968 altdiff=0  block=371 wiper=27  | critical=1857 wait=1330 watch=575 outmatched=220 wipe=135 block=64
144   Yellow   1           9379    34000        0      8      5       36       72     1286  FOELOST=4166 FOESEEN=4166 OWNSEEN=85822  GAD p1 off=21 def=29 sig=10 | p2 off=23 def=15 sig=11  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=36  | watch=7979 critical=110 block=70 wait=15
145   Orange   2           7683        0    31930      8      8      420     1839    55020  FOELOST=10885 FOESEEN=55020 OWNSEEN=1839  GAD p1 off=10 def=22 sig=14 | p2 off=10 def=2 sig=18  DEFGAD p1=speed_3 p2=wall  WIPE n=21 reach=2684 cred=11132 paid=1440 altkill=2879 altcost=1510 altdiff=2  block=399 wiper=21  | block=1891 watch=815 wait=650 critical=650 outmatched=225 wipe=108 free=5
146   Black    2           6384        0    11400      6      6      343     1930    12515  FOELOST=15154 FOESEEN=27285 OWNSEEN=1930  GAD p1 off=11 def=20 sig=17 | p2 off=5 def=17 sig=6  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=17 reach=3441 cred=34497 paid=1604 altkill=3443 altcost=1604 altdiff=0  block=326 wiper=17  | watch=2719 critical=1374 block=401 wait=345 outmatched=229 wipe=84
147   Purple   1           8929     3368        0      8      8      593     4255    87035  FOELOST=82121 FOESEEN=87035 OWNSEEN=4255  GAD p1 off=19 def=13 sig=14 | p2 off=6 def=4 sig=15  DEFGAD p1=wall_3 p2=wall_2  WIPE n=30 reach=10810 cred=107304 paid=3155 altkill=10830 altcost=3155 altdiff=0  block=559 wiper=33 =1  | critical=2257 block=1019 watch=954 wait=595 free=375 outmatched=240 wipe=152
148   Black    1           8059    27785        0      8      8      193     1223    36380  FOELOST=33808 FOESEEN=36380 OWNSEEN=1223  GAD p1 off=13 def=7 sig=11 | p2 off=10 def=9 sig=7  DEFGAD p1=heal_2 p2=heal_2  WIPE n=11 reach=1265 cred=2490 paid=677 altkill=1265 altcost=677 altdiff=0  block=182 wiper=11  | wait=1725 watch=780 free=750 block=747 outmatched=435 critical=229 wipe=55
149   Purple   1          11323    22869        0      8      7      703      893    28220  FOELOST=28170 FOESEEN=28220 OWNSEEN=177638  GAD p1 off=18 def=33 sig=18 | p2 off=19 def=29 sig=18  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=6 reach=383 cred=418 paid=196 altkill=383 altcost=196 altdiff=0  block=697 wiper=6  | watch=4551 block=2987 wait=1160 free=590 critical=549 wipe=30 outmatched=10
150   Black    2           8209        0    10305      8      7      723     6991    40385  FOELOST=39617 FOESEEN=40385 OWNSEEN=6991  GAD p1 off=16 def=27 sig=16 | p2 off=13 def=11 sig=2  DEFGAD p1=speed_3 p2=heal_2  WIPE n=26 reach=8034 cred=57618 paid=4900 altkill=8097 altcost=4915 altdiff=1  block=697 wiper=26  | critical=3355 block=529 wait=340 free=275 watch=135 wipe=128 outmatched=70
151   Purple   1           8119    24970        0      8      8      480     1532    14419  FOELOST=13744 FOESEEN=14419 OWNSEEN=1532  GAD p1 off=22 def=9 sig=7 | p2 off=15 def=26 sig=12  DEFGAD p1=wall_2 p2=speed_3  WIPE n=17 reach=1091 cred=2451 paid=624 altkill=1156 altcost=624 altdiff=0  block=460 wiper=19 =1  | block=1723 watch=1396 wait=555 critical=553 free=455 wipe=85
152   Blue     2           9049        0    17659      8      8      537     7336    87349  FOELOST=55608 FOESEEN=87349 OWNSEEN=7336  GAD p1 off=13 def=9 sig=16 | p2 off=19 def=10 sig=18  DEFGAD p1=heal_2 p2=heal_2  WIPE n=23 reach=7764 cred=67681 paid=5280 altkill=7764 altcost=5280 altdiff=0  block=514 wiper=23  | critical=2121 outmatched=1435 watch=1415 block=669 wait=150 wipe=115 free=115
153   Red      2           6220        0     2000      7      6      284     4025     8489  FOELOST=9446 FOESEEN=10589 OWNSEEN=4025  GAD p1 off=11 def=9 sig=16 | p2 off=13 def=15 sig=8  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=17 reach=5050 cred=17616 paid=3758 altkill=5050 altcost=3758 altdiff=0  block=267 wiper=17  | watch=3125 critical=1187 outmatched=415 block=164 wipe=85 wait=20
154   Blue     2           9322        0    40500      8      8      368      933    34446  FOELOST=31761 FOESEEN=34446 OWNSEEN=74853  GAD p1 off=27 def=27 sig=10 | p2 off=11 def=6 sig=23  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=9 reach=365 cred=1795 paid=215 altkill=365 altcost=215 altdiff=0  block=359 wiper=9  | watch=4584 block=1124 wait=715 critical=696 outmatched=360 wipe=45 free=45
155   Red      2           5588        0    43500      5      6      237     1748     8629  FOELOST=6441 FOESEEN=11509 OWNSEEN=1748  GAD p1 off=9 def=10 sig=4 | p2 off=7 def=15 sig=7  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=17 reach=3232 cred=11031 paid=1528 altkill=3235 altcost=1528 altdiff=0  block=220 wiper=17  | watch=2575 critical=1339 outmatched=175 wait=145 wipe=85 block=57
156   Blue     1           8509    42000        0      8      8      423     1108    30525  FOELOST=30473 FOESEEN=30525 OWNSEEN=1108  GAD p1 off=12 def=6 sig=15 | p2 off=11 def=5 sig=22  DEFGAD p1=wall_2 p2=wall_2  WIPE n=17 reach=1236 cred=3472 paid=708 altkill=1250 altcost=708 altdiff=0  block=405 wiper=17 =1  | block=1578 watch=1378 critical=753 free=725 wait=635 wipe=84 outmatched=30
157   Red      2           5762        0     1380      5      6      234     1435    11788  FOELOST=6008 FOESEEN=14728 OWNSEEN=1435  GAD p1 off=6 def=9 sig=5 | p2 off=9 def=15 sig=5  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=13 reach=2037 cred=26493 paid=993 altkill=2042 altcost=993 altdiff=0  block=221 wiper=13  | watch=2965 critical=1105 wait=370 wipe=65 block=40 outmatched=10
158   Green    1           8637    30189        0      7      6      143      509     6461  FOELOST=6386 FOESEEN=6461 OWNSEEN=58549  GAD p1 off=12 def=23 sig=13 | p2 off=14 def=22 sig=11  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=7 reach=325 cred=1639 paid=101 altkill=440 altcost=121 altdiff=1  block=136 wiper=7  | watch=4676 wait=1565 critical=424 block=273 outmatched=270 wipe=40
159   White    1           6874    14368        0      7      6       39      178     4739  FOELOST=4719 FOESEEN=4739 OWNSEEN=43248  GAD p1 off=12 def=20 sig=11 | p2 off=12 def=8 sig=9  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=3 reach=37 cred=524 paid=34 altkill=37 altcost=34 altdiff=0  block=36 wiper=3  | watch=4703 wait=475 critical=164 outmatched=55 block=25 wipe=15

CHECKSUM 2F50DEE21913E9FCA958ED466779F2C8
