BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7789    32669        0      8      8      343     8254    26074  FOELOST=23032 FOESEEN=26074 OWNSEEN=8254  GAD p1 off=11 def=23 sig=15 | p2 off=13 def=1 sig=9  DEFGAD p1=speed_3 p2=wall  WIPE n=58 reach=10568 cred=26957 paid=7399 altkill=10574 altcost=7399 altdiff=0  block=285 wiper=58  | wait=1235 watch=1140 block=979 critical=493 free=300 wipe=287
132   Red      2           8406        0    27075      7      8      495    16316   120662  FOELOST=109201 FOESEEN=120662 OWNSEEN=16316  GAD p1 off=12 def=25 sig=14 | p2 off=11 def=7 sig=16  DEFGAD p1=speed_3 p2=heal_2  WIPE n=82 reach=30759 cred=87505 paid=15903 altkill=31933 altcost=16335 altdiff=7  block=413 wiper=82  | watch=1760 block=1365 critical=831 wait=765 wipe=414 outmatched=235
133   Blue     1           8374    59096        0      8      7      341    16473    10768  FOELOST=34062 FOESEEN=34078 OWNSEEN=16473  GAD p1 off=20 def=8 sig=16 | p2 off=11 def=21 sig=11  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=94 reach=21213 cred=133670 paid=15756 altkill=84914 altcost=51238 altdiff=24  block=242 wiper=96 =3  | watch=3889 critical=970 wait=945 wipe=470 outmatched=424 block=245 free=215
134   Red      1           8209     8908        0      8      8      276     1955    23681  FOELOST=23253 FOESEEN=23681 OWNSEEN=1955  GAD p1 off=23 def=5 sig=11 | p2 off=12 def=3 sig=15  DEFGAD p1=heal p2=wall_2  WIPE n=23 reach=2155 cred=6769 paid=1196 altkill=2635 altcost=1255 altdiff=1  block=253 wiper=23  | wait=1510 watch=1174 block=858 free=560 critical=476 outmatched=195 wipe=112
135   Green    1           6833    34000        0      7      5       12       59      995  FOELOST=3866 FOESEEN=3875 OWNSEEN=34764  GAD p1 off=8 def=19 sig=11 | p2 off=9 def=15 sig=7  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=2 reach=69 cred=200 paid=19 altkill=138 altcost=30 altdiff=1  block=10 wiper=2  | watch=5568 block=50 wipe=10
136   White    2           7742        0     2000      8      7      499     5216    65658  FOELOST=10512 FOESEEN=65658 OWNSEEN=5216  GAD p1 off=10 def=23 sig=20 | p2 off=16 def=1 sig=12  DEFGAD p1=speed_3 p2=wall  WIPE n=162 reach=6465 cred=2032614 paid=4879 altkill=6680 altcost=4939 altdiff=11  block=337 wiper=162  | critical=1598 watch=1014 wipe=807 wait=603 block=287 outmatched=90
137   Green    2          10785        0     2000      7      7      933    34515    62448  FOELOST=133100 FOESEEN=165943 OWNSEEN=34515  GAD p1 off=20 def=16 sig=13 | p2 off=29 def=32 sig=11  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=214 reach=78800 cred=1946074 paid=33109 altkill=342197 altcost=181882 altdiff=33  block=712 wiper=220 =1  | watch=3938 critical=3405 wipe=1063 wait=905 block=195 outmatched=45
138   White    2           8220        0    16700      8      8      698     6865    60829  FOELOST=11983 FOESEEN=60829 OWNSEEN=6865  GAD p1 off=7 def=6 sig=17 | p2 off=7 def=26 sig=14  DEFGAD p1=heal p2=speed_3  WIPE n=77 reach=8608 cred=227917 paid=6244 altkill=9964 altcost=7207 altdiff=13  block=621 wiper=77  | block=2207 critical=900 watch=835 wait=565 wipe=387
139   Green    2           8171        0    18321      8      8      399     5185    32577  FOELOST=23464 FOESEEN=32577 OWNSEEN=5185  GAD p1 off=11 def=14 sig=15 | p2 off=6 def=13 sig=3  DEFGAD p1=heal_2 p2=heal_2  WIPE n=68 reach=8722 cred=42165 paid=4854 altkill=9432 altcost=5180 altdiff=7  block=331 wiper=68  | watch=1579 block=1138 wait=765 critical=683 wipe=338 free=315
140   White    1          10993    67000        0      8      7      635     2488    24425  FOELOST=24375 FOESEEN=24425 OWNSEEN=120538  GAD p1 off=22 def=33 sig=15 | p2 off=19 def=30 sig=17  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=26 reach=3097 cred=5287 paid=1270 altkill=3097 altcost=1270 altdiff=0  block=609 wiper=26  | watch=3313 block=2598 wait=1890 critical=485 free=440 wipe=131 outmatched=20
141   Orange   2           8410        0    11925      8      8      438    12834    45778  FOELOST=32039 FOESEEN=45778 OWNSEEN=12834  GAD p1 off=24 def=25 sig=12 | p2 off=11 def=5 sig=17  DEFGAD p1=speed_3 p2=heal  WIPE n=56 reach=28771 cred=47049 paid=11688 altkill=28861 altcost=11688 altdiff=0  block=382 wiper=56  | outmatched=1969 block=986 critical=947 watch=769 wait=420 wipe=273
142   Yellow   1           8749    24325        0      8      7      222     9361    17105  FOELOST=16618 FOESEEN=17105 OWNSEEN=9361  GAD p1 off=13 def=5 sig=15 | p2 off=13 def=23 sig=11  DEFGAD p1=wall_2 p2=speed_3  WIPE n=19 reach=18180 cred=34730 paid=8569 altkill=18180 altcost=8569 altdiff=0  block=202 wiper=19 =1  | watch=3243 critical=553 free=495 block=475 wait=335 outmatched=240 wipe=94
143   Orange   2           8009        0    67000      8      8      417    14560    26878  FOELOST=23822 FOESEEN=26878 OWNSEEN=14560  GAD p1 off=17 def=15 sig=16 | p2 off=16 def=5 sig=16  DEFGAD p1=heal_2 p2=wall_2  WIPE n=71 reach=16261 cred=49948 paid=13522 altkill=19506 altcost=15819 altdiff=4  block=346 wiper=71  | watch=1300 wait=1240 critical=1161 block=574 free=355 wipe=351
144   Yellow   1           9379    34000        0      8      5       36       72     1286  FOELOST=4166 FOESEEN=4166 OWNSEEN=85822  GAD p1 off=21 def=29 sig=10 | p2 off=23 def=15 sig=11  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=36  | watch=7979 critical=110 block=70 wait=15
145   Orange   2           7578        0    23000      7      8      465     6058    19453  FOELOST=9894 FOESEEN=19453 OWNSEEN=6058  GAD p1 off=6 def=24 sig=15 | p2 off=10 def=2 sig=20  DEFGAD p1=speed_3 p2=wall  WIPE n=72 reach=7678 cred=77546 paid=5665 altkill=8848 altcost=6185 altdiff=12  block=393 wiper=72  | block=1101 critical=943 wait=760 watch=640 outmatched=430 wipe=364 free=5
146   Black    2           6559        0    23000      7      7      260     4845    22112  FOELOST=8771 FOESEEN=48712 OWNSEEN=4845  GAD p1 off=11 def=20 sig=17 | p2 off=5 def=19 sig=6  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=69 reach=6289 cred=231309 paid=4654 altkill=6715 altcost=4968 altdiff=1  block=191 wiper=69  | watch=2958 wait=929 critical=750 wipe=340 block=312 outmatched=35
147   Purple   2           8363        0     1500      8      8      632    27787   118967  FOELOST=20920 FOESEEN=118967 OWNSEEN=27787  GAD p1 off=17 def=12 sig=14 | p2 off=5 def=1 sig=15  DEFGAD p1=wall_3 p2=wall  WIPE n=278 reach=74295 cred=1339736 paid=27103 altkill=119142 altcost=42370 altdiff=93  block=348 wiper=283 =1  | wipe=1381 critical=1083 wait=1025 watch=884 block=636 outmatched=15
148   Black    1           8119    23696        0      8      8      243     1894    30069  FOELOST=28169 FOESEEN=30069 OWNSEEN=1894  GAD p1 off=13 def=9 sig=11 | p2 off=10 def=6 sig=8  DEFGAD p1=heal_2 p2=heal  WIPE n=20 reach=2081 cred=7504 paid=1225 altkill=2983 altcost=1225 altdiff=0  block=223 wiper=20  | wait=1809 block=796 watch=765 free=665 critical=328 outmatched=315 wipe=98
149   Purple   1          11502    37897        0      8      7      825     1341    34097  FOELOST=32299 FOESEEN=34097 OWNSEEN=187676  GAD p1 off=19 def=34 sig=18 | p2 off=19 def=30 sig=18  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=21 reach=2208 cred=30281 paid=537 altkill=2208 altcost=537 altdiff=0  block=804 wiper=21  | watch=4580 block=3194 critical=898 wait=880 free=385 wipe=104 outmatched=10
150   Black    1           7729    37315        0      8      8      291     8445    74175  FOELOST=72237 FOESEEN=74175 OWNSEEN=8445  GAD p1 off=14 def=24 sig=15 | p2 off=14 def=6 sig=1  DEFGAD p1=speed_3 p2=heal  WIPE n=93 reach=12375 cred=39103 paid=7851 altkill=13008 altcost=8294 altdiff=5  block=198 wiper=93  | wait=1305 watch=990 free=540 critical=538 block=538 wipe=462
151   Purple   1           8209    24970        0      8      8      519     2555    12987  FOELOST=12612 FOESEEN=12987 OWNSEEN=2555  GAD p1 off=22 def=10 sig=9 | p2 off=16 def=26 sig=13  DEFGAD p1=wall_3 p2=speed_3  WIPE n=56 reach=2466 cred=9546 paid=1649 altkill=3546 altcost=1966 altdiff=7  block=459 wiper=59 =1  | watch=1551 critical=1347 block=915 wait=465 wipe=287 free=285
152   Blue     2           8437        0    19402      8      8      495   103911    99458  FOELOST=45157 FOESEEN=99458 OWNSEEN=103911  GAD p1 off=9 def=14 sig=14 | p2 off=21 def=8 sig=17  DEFGAD p1=heal_2 p2=heal_2  WIPE n=90 reach=227302 cred=487481 paid=102291 altkill=227581 altcost=102318 altdiff=3  block=405 wiper=90  | critical=1772 watch=1610 block=587 wait=565 wipe=455 outmatched=415 free=5
153   Red      2           5993        0     2000      6      6      223     3355     7994  FOELOST=6464 FOESEEN=10094 OWNSEEN=3355  GAD p1 off=10 def=9 sig=16 | p2 off=12 def=15 sig=7  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=73 reach=5040 cred=71985 paid=3205 altkill=5040 altcost=3205 altdiff=0  block=150 wiper=73  | watch=3155 critical=719 wipe=365 outmatched=260 wait=230 block=44
154   Blue     2           9370        0    28605      8      8      465     2976    40330  FOELOST=39687 FOESEEN=40330 OWNSEEN=76896  GAD p1 off=27 def=27 sig=12 | p2 off=10 def=4 sig=23  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=66 reach=3699 cred=23015 paid=2178 altkill=3699 altcost=2178 altdiff=0  block=399 wiper=66  | watch=4139 block=1267 critical=748 wait=665 outmatched=455 wipe=327 free=10
155   Red      2           6244        0    43500      5      6      310     3585    12746  FOELOST=5281 FOESEEN=22521 OWNSEEN=3585  GAD p1 off=9 def=9 sig=4 | p2 off=7 def=16 sig=8  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=85 reach=4681 cred=221374 paid=3360 altkill=5508 altcost=3801 altdiff=7  block=225 wiper=85  | watch=2480 critical=1093 wipe=777 wait=415 block=185 outmatched=85
156   Blue     1           8599     5659        0      8      8      398     1222    25549  FOELOST=23941 FOESEEN=25549 OWNSEEN=1222  GAD p1 off=12 def=5 sig=16 | p2 off=10 def=5 sig=21  DEFGAD p1=wall_2 p2=wall_2  WIPE n=46 reach=1160 cred=7150 paid=875 altkill=2581 altcost=1319 altdiff=26  block=350 wiper=47 =1  | watch=1503 block=1236 free=830 critical=729 wait=660 wipe=316
157   Red      2           6254        0      790      5      7      303     2492    14821  FOELOST=7374 FOESEEN=29591 OWNSEEN=2492  GAD p1 off=7 def=8 sig=6 | p2 off=10 def=17 sig=5  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=31 reach=3284 cred=40749 paid=1948 altkill=4230 altcost=2773 altdiff=9  block=272 wiper=31  | watch=3270 critical=1373 wait=160 wipe=155 block=85
158   Green    2          10357        0    26340      5      7      387     6815    26917  FOELOST=14335 FOESEEN=26917 OWNSEEN=9695  GAD p1 off=12 def=15 sig=10 | p2 off=15 def=26 sig=12  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=187 reach=16848 cred=105874 paid=6215 altkill=16548 altcost=5413 altdiff=12  block=200 wiper=187  | wait=3240 watch=3205 critical=1098 wipe=935 outmatched=490
159   White    1           6920    14648        0      7      6       41      219     4939  FOELOST=4766 FOESEEN=4939 OWNSEEN=43289  GAD p1 off=12 def=20 sig=11 | p2 off=12 def=10 sig=10  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=10 reach=183 cred=2065 paid=95 altkill=286 altcost=117 altdiff=2  block=31 wiper=10  | watch=4774 wait=495 critical=154 wipe=49 block=10

CHECKSUM F5C64F870ED166A886959294F3EA9B7A
